Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",74.930000,-31.623000,180.000000,top
"C2","10u","C_0805_2012Metric",115.316000,-28.956000,90.000000,top
"C3","1u","C_0603_1608Metric",86.868000,-20.574000,135.000000,top
"C4","100n","C_0603_1608Metric",8.509000,-14.351000,90.000000,top
"C5","100n","C_0603_1608Metric",8.509000,-24.003000,90.000000,top
"C6","100n","C_0603_1608Metric",8.509000,-33.909000,90.000000,top
"C7","100n","C_0603_1608Metric",191.262000,-4.953000,90.000000,top
"C8","6pF","C_0603_1608Metric",154.940000,-16.269000,-90.000000,top
"C9","6pF","C_0603_1608Metric",154.940000,-12.700000,90.000000,top
"C12","100n","C_0603_1608Metric",103.759000,-23.241000,180.000000,top
"C13","10u","C_0805_2012Metric",33.020000,-10.668000,0.000000,top
"C14","10u","C_0805_2012Metric",103.759000,-25.146000,180.000000,top
"C16","100n","C_0603_1608Metric",29.464000,-10.922000,180.000000,top
"C18","100n","C_0603_1608Metric",152.400000,-19.050000,-90.000000,top
"D1","B5819W","D_SOD-123",214.376000,-13.462000,-90.000000,top
"D2","B5819W","D_SOD-123",113.030000,-28.702000,90.000000,top
"J7","918-418K2023S40001","USB_C_Receptacle_HRO_TYPE-C-31-M-12",2.740000,-5.500000,-90.000000,top
"Q1","2N7002","SOT-23",196.596000,-14.732000,0.000000,top
"Q2","S8050","SOT-23",39.370000,-16.129000,180.000000,top
"Q3","S8050","SOT-23",43.688000,-16.129000,0.000000,top
"Q4","2N7002","SOT-23",45.466000,-8.128000,90.000000,top
"R1","10K","R_0603_1608Metric",193.675000,-14.732000,-90.000000,top
"R2","10K","R_0603_1608Metric",84.708163,-18.363363,-45.000000,top
"R3","4K7","R_0603_1608Metric",190.754000,-7.620000,0.000000,top
"R4","5K1","R_0603_1608Metric",14.351000,-2.921000,0.000000,top
"R5","5K1","R_0603_1608Metric",15.367000,-12.192000,0.000000,top
"R6","5K1","R_0603_1608Metric",13.843000,-7.620000,-90.000000,top
"R7","5K1","R_0603_1608Metric",11.684000,-8.509000,90.000000,top
"R8","470R","R_0603_1608Metric",22.860000,-14.224000,0.000000,top
"R9","470R","R_0603_1608Metric",22.860000,-15.748000,0.000000,top
"R10","12K","R_0603_1608Metric",35.496000,-16.967000,180.000000,top
"R11","12K","R_0603_1608Metric",35.496000,-15.367000,180.000000,top
"R13","10K","R_0603_1608Metric",116.840000,-9.525000,-90.000000,top
"R15","10K","R_0603_1608Metric",114.681000,-22.352000,0.000000,top
"R16","10K","R_0603_1608Metric",45.466000,-11.303000,0.000000,top
"R17","10K","R_0603_1608Metric",27.305000,-8.890000,0.000000,top
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",63.246000,-23.368000,180.000000,top
"U3","DS1302ZN+","SOIC-8_3.9x4.9mm_P1.27mm",149.860000,-14.478000,180.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",107.061000,-31.242000,-90.000000,top
"U5","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",29.000000,-17.400000,0.000000,top
